*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Mar 12 17:48:15 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Jan-23 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-23 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2461073.500000000, A.D. 2026-Feb-02 00:00:00.0000, -6.692635092654691E-01,  6.636331040405220E-01,  2.876757183299600E-01, -1.290189724064815E-02, -1.077556886436021E-02, -4.670281955785217E-03,  5.691391229352734E-03,  9.854338438116723E-01,  1.422907226572932E-04,
2461074.500000000, A.D. 2026-Feb-03 00:00:00.0000, -6.820619386195282E-01,  6.527560259850008E-01,  2.829614638840974E-01, -1.269435732611785E-02, -1.097806331346660E-02, -4.758006775990347E-03,  5.692229998741644E-03,  9.855790722294135E-01,  1.481448089556218E-04,
2461075.500000000, A.D. 2026-Feb-04 00:00:00.0000, -6.946510100251109E-01,  6.416780299769459E-01,  2.781601471746205E-01, -1.248317578572867E-02, -1.117739911120251E-02, -4.844403883436744E-03,  5.693102137348441E-03,  9.857300783481285E-01,  1.538343326187048E-04,
2461076.500000000, A.D. 2026-Feb-05 00:00:00.0000, -7.070270660284053E-01,  6.304022961827689E-01,  2.732731061622027E-01, -1.226832216218477E-02, -1.137352889031224E-02, -4.929450455595132E-03,  5.694006510691431E-03,  9.858866657384007E-01,  1.592990990258136E-04,
2461077.500000000, A.D. 2026-Feb-06 00:00:00.0000, -7.191864238003783E-01,  6.189320639990441E-01,  2.683017079364035E-01, -1.204977746297412E-02, -1.156638277186262E-02, -5.013111759462599E-03,  5.694941697467120E-03,  9.860485883091591E-01,  1.644997558721660E-04,
2461078.500000000, A.D. 2026-Feb-07 00:00:00.0000, -7.311253895984265E-01,  6.072706507415316E-01,  2.632473584555532E-01, -1.182753927681248E-02, -1.175587610032295E-02, -5.095345508850197E-03,  5.695906102671303E-03,  9.862155698939866E-01,  1.694147727408704E-04,
2461079.500000000, A.D. 2026-Feb-08 00:00:00.0000, -7.428402759182846E-01,  5.954214627208455E-01,  2.581115080842640E-01, -1.160162227849510E-02, -1.194191658689350E-02, -5.176105732940820E-03,  5.696898046635719E-03,  9.863873196673391E-01,  1.740354852934434E-04,
2461080.500000000, A.D. 2026-Feb-09 00:00:00.0000, -7.543274175618802E-01,  5.833880001266686E-01,  2.528956538339815E-01, -1.137205587509962E-02, -1.212440941136147E-02, -5.255345439165528E-03,  5.697915824588353E-03,  9.865635424570918E-01,  1.783611018330665E-04,
2461081.500000000, A.D. 2026-Feb-10 00:00:00.0000, -7.655831846819131E-01,  5.711738580063540E-01,  2.476013396100830E-01, -1.113888077821366E-02, -1.230325994589740E-02, -5.333017954806746E-03,  5.698957740206905E-03,  9.867439445541435E-01,  1.823948166514889E-04,
2461082.500000000, A.D. 2026-Feb-11 00:00:00.0000, -7.766039924323402E-01,  5.587827255864544E-01,  2.422301556909753E-01, -1.090214581642742E-02, -1.247837443194983E-02, -5.409077174450827E-03,  5.700022121135533E-03,  9.869282363990562E-01,  1.861414824874965E-04,
2461083.500000000, A.D. 2026-Feb-12 00:00:00.0000, -7.873863079024118E-01,  5.462183856979861E-01,  2.367837383628821E-01, -1.066190578718572E-02, -1.264965920210381E-02, -5.483477062060915E-03,  5.701107325701843E-03,  9.871161337450662E-01,  1.896068756172804E-04,
2461084.500000000, A.D. 2026-Feb-13 00:00:00.0000, -7.979266556124143E-01,  5.334847154394969E-01,  2.312637702736926E-01, -1.041822077735244E-02, -1.281701909019919E-02, -5.556170770648621E-03,  5.702211749643500E-03,  9.873073588227612E-01,  1.927984003981940E-04,
2461085.500000000, A.D. 2026-Feb-14 00:00:00.0000, -8.082216231519410E-01,  5.205856885645568E-01,  2.256719817086558E-01, -1.017115714258583E-02, -1.298035568378395E-02, -5.627109739607485E-03,  5.703333840503304E-03,  9.875016428325087E-01,  1.957269932989232E-04,
2461086.500000000, A.D. 2026-Feb-15 00:00:00.0000, -8.182678686268600E-01,  5.075253794079395E-01,  2.200101526246332E-01, -9.920790119768347E-03, -1.313956611521941E-02, -5.696243144577680E-03,  5.704472125685027E-03,  9.876987308021771E-01,  1.984098782126619E-04,
2461087.500000000, A.D. 2026-Feb-16 00:00:00.0000, -8.280621314144787E-01,  4.943079674432417E-01,  2.142801148964551E-01, -9.667207743789191E-03, -1.329454313079226E-02, -5.763518086520205E-03,  5.705625257639579E-03,  9.878983894108727E-01,  2.008736327743077E-04,
2461088.500000000, A.D. 2026-Feb-17 00:00:00.0000, -8.376012471917410E-01,  4.809377408448791E-01,  2.084837538606155E-01, -9.410515310005491E-03, -1.344517710693723E-02, -5.828880852427264E-03,  5.706792075817603E-03,  9.881004177157047E-01,  2.031567771741893E-04,
2461089.500000000, A.D. 2026-Feb-18 00:00:00.0000, -8.468821672069780E-01,  4.674190968944245E-01,  2.026230079915665E-01, -9.150839164490247E-03, -1.359136035897559E-02, -5.892279387866660E-03,  5.707971679894654E-03,  9.883046598303266E-01,  2.053109264561485E-04,
2461090.500000000, A.D. 2026-Feb-19 00:00:00.0000, -8.559019803974076E-01,  4.537565370177501E-01,  1.966998655690065E-01, -8.888328366298827E-03, -1.373299345866513E-02, -5.953666772840046E-03,  5.709163503364257E-03,  9.885110176671833E-01,  2.073996535413869E-04,
2461091.500000000, A.D. 2026-Feb-20 00:00:00.0000, -8.646579355830644E-01,  4.399546549112208E-01,  1.907163576094023E-01, -8.623153035928671E-03, -1.386999250338275E-02, -6.013005085082182E-03,  5.710367372952214E-03,  9.887194612247781E-01,  2.094947220374024E-04,
2461092.500000000, A.D. 2026-Feb-21 00:00:00.0000, -8.731474601671465E-01,  4.260181175805712E-01,  1.846745471026264E-01, -8.355499057816147E-03, -1.400229573803875E-02, -6.070268774891962E-03,  5.711583539593971E-03,  9.889300339512357E-01,  2.116701532510674E-04,
2461093.500000000, A.D. 2026-Feb-22 00:00:00.0000, -8.813681720003013E-01,  4.119516407451470E-01,  1.785765154655165E-01, -8.085559921501111E-03, -1.412986798712506E-02, -6.125446748398222E-03,  5.712812671627716E-03,  9.891428515657266E-01,  2.139953096463730E-04,
2461094.500000000, A.D. 2026-Feb-23 00:00:00.0000, -8.893178822987691E-01,  3.977599613006685E-01,  1.724243477471339E-01, -7.813527280945044E-03, -1.425270204137996E-02, -6.178542757329778E-03,  5.714055808611546E-03,  9.893580940621556E-01,  2.165283921866126E-04,
2461095.500000000, A.D. 2026-Feb-24 00:00:00.0000, -8.969945891811268E-01,  3.834478099247489E-01,  1.662201182680431E-01, -7.539581870379035E-03, -1.437081706377741E-02, -6.229574192441571E-03,  5.715314281359685E-03,  9.895759918638626E-01,  2.193113568241502E-04,
2461096.500000000, A.D. 2026-Feb-25 00:00:00.0000, -9.043964627731734E-01,  3.690198864939848E-01,  1.599658780990451E-01, -7.263885837988785E-03, -1.448425469519330E-02, -6.278569688278232E-03,  5.716589607641296E-03,  9.897968077644320E-01,  2.223665697615749E-04,
2461097.500000000, A.D. 2026-Feb-26 00:00:00.0000, -9.115218235291088E-01,  3.544808402287373E-01,  1.536636453517731E-01, -6.986576863172796E-03, -1.459307359443175E-02, -6.325565949995314E-03,  5.717883373204072E-03,  9.900208163275653E-01,  2.256950225663931E-04,
2461098.500000000, A.D. 2026-Feb-27 00:00:00.0000, -9.183691155826672E-01,  3.398352558924657E-01,  1.473153989288757E-01, -6.707764111215436E-03, -1.469734282838996E-02, -6.370604029108037E-03,  5.719197106418352E-03,  9.902482821823837E-01,  2.292758931755554E-04,
2461099.500000000, A.D. 2026-Feb-28 00:00:00.0000, -9.249368770564047E-01,  3.250876471067235E-01,  1.409230762332517E-01, -6.427526268490929E-03, -1.479713427602665E-02, -6.413725146273743E-03,  5.720532154446338E-03,  9.904794385827921E-01,  2.330675645958875E-04,
2461100.500000000, A.D. 2026-Mar-01 00:00:00.0000, -9.312237096909018E-01,  3.102424576397676E-01,  1.344885752090949E-01, -6.145912268973990E-03, -1.489251436949001E-02, -6.454966259450872E-03,  5.721889570483724E-03,  9.907144678839713E-01,  2.370105176397036E-04,
2461101.500000000, A.D. 2026-Mar-02 00:00:00.0000, -9.372282508275430E-01,  2.953040709460424E-01,  1.280137607479657E-01, -5.862945349141340E-03, -1.498353605249861E-02, -6.494355877215979E-03,  5.723270023970632E-03,  9.909534859958858E-01,  2.410324043468813E-04,
2461102.500000000, A.D. 2026-Mar-03 00:00:00.0000, -9.429491511542303E-01,  2.802768270556668E-01,  1.215004748424968E-01, -5.578630433733774E-03, -1.507023238371910E-02, -6.531910888240874E-03,  5.724673745823211E-03,  9.911965329004273E-01,  2.450549754559436E-04,
2461103.500000000, A.D. 2026-Mar-04 00:00:00.0000, -9.483850610917076E-01,  2.651650444191160E-01,  1.149505490841117E-01, -5.292963754752939E-03, -1.515261322157860E-02, -6.567635140412444E-03,  5.726100516394504E-03,  9.914435705669045E-01,  2.490016958063569E-04,
2461104.500000000, A.D. 2026-Mar-05 00:00:00.0000, -9.535346270970495E-01,  2.499730431917801E-01,  1.083658175575066E-01, -5.005942692445667E-03, -1.523066568102002E-02, -6.601520065360444E-03,  5.727549695447262E-03,  9.916944881416733E-01,  2.528043993205230E-04,
2461105.500000000, A.D. 2026-Mar-06 00:00:00.0000, -9.583964970152842E-01,  2.347051663261145E-01,  1.017481282036640E-01, -4.717573720417799E-03, -1.530435788779655E-02, -6.633547011180007E-03,  5.729020284245597E-03,  9.919491126989761E-01,  2.564075812916418E-04,
2461106.500000000, A.D. 2026-Mar-07 00:00:00.0000, -9.629693318222639E-01,  2.193657958267968E-01,  9.509935132484480E-02, -4.427877115932395E-03, -1.537364461732759E-02, -6.663690469273503E-03,  5.730511004025252E-03,  9.922072228276447E-01,  2.597697683454651E-04,
2461107.500000000, A.D. 2026-Mar-08 00:00:00.0000, -9.672518203446608E-01,  2.039593631327983E-01,  8.842138480236730E-02, -4.136888269793576E-03, -1.543847313793093E-02, -6.691921281887499E-03,  5.732020374665456E-03,  9.924685622527120E-01,  2.628623452213185E-04,
2461108.500000000, A.D. 2026-Mar-09 00:00:00.0000, -9.712426938906881E-01,  1.884903541252242E-01,  8.171615641334576E-02, -3.844656380618035E-03, -1.549878795028495E-02, -6.718209154155770E-03,  5.733546781493478E-03,  9.927328514022611E-01,  2.656668009962757E-04,
2461109.500000000, A.D. 2026-Mar-10 00:00:00.0000, -9.749407387645747E-01,  1.729633102470251E-01,  7.498562412576487E-02, -3.551241735053539E-03, -1.555453377025750E-02, -6.742524164171726E-03,  5.735088524224627E-03,  9.929997958811240E-01,  2.681714627967780E-04,
2461110.500000000, A.D. 2026-Mar-11 00:00:00.0000, -9.783448058442373E-01,  1.573828275640670E-01,  6.823177539047759E-02, -3.256712726385159E-03, -1.560565669028599E-02, -6.764837280204319E-03,  5.736643847688922E-03,  9.932690917910392E-01,  2.703685722608816E-04,
2461111.500000000, A.D. 2026-Mar-12 00:00:00.0000, -9.814538174271651E-01,  1.417535554592021E-01,  6.145662633504891E-02, -2.961143494329480E-03, -1.565210382128236E-02, -6.785120081860941E-03,  5.738210958070255E-03,  9.935404285423750E-01,  2.722522628127207E-04,
2461112.500000000, A.D. 2026-Mar-13 00:00:00.0000, -9.842667722875654E-01,  1.260801962493592E-01,  5.466222151932462E-02, -2.664612788555932E-03, -1.569382189300680E-02, -6.803343966230847E-03,  5.739788030893288E-03,  9.938134902370196E-01,  2.738177659433433E-04,
2461113.500000000, A.D. 2026-Mar-14 00:00:00.0000, -9.867827503800427E-01,  1.103675064875485E-01,  4.785063460875378E-02, -2.367204449528329E-03, -1.573075538789000E-02, -6.819479164312098E-03,  5.741373218469968E-03,  9.940879569577036E-01,  2.750620430145478E-04,
2461114.500000000, A.D. 2026-Mar-15 00:00:00.0000, -9.890009189310771E-01,  9.462030008168508E-02,  4.102396996995036E-02, -2.069009721682228E-03, -1.576284490237249E-02, -6.833493950253279E-03,  5.742964665383341E-03,  9.943635074489401E-01,  2.759859433262378E-04,
2461115.500000000, A.D. 2026-Mar-16 00:00:00.0000, -9.909205417535630E-01,  7.884345258533391E-02,  3.418436477057875E-02, -1.770131344522880E-03, -1.579002660098099E-02, -6.845354507684105E-03,  5.744560540732919E-03,  9.946398247001368E-01,  2.765978145529328E-04,
2461116.500000000, A.D. 2026-Mar-17 00:00:00.0000, -9.925409933400374E-01,  6.304190507133808E-02,  2.733399066757880E-02, -1.470688870398614E-03, -1.581223376615947E-02, -6.855025972408352E-03,  5.746159094482040E-03,  9.949166057018384E-01,  2.769181203055438E-04,
2461117.500000000, A.D. 2026-Mar-18 00:00:00.0000, -9.938617783760322E-01,  4.722066502125732E-02,  2.047505367597677E-02, -1.170823895837524E-03, -1.582940133021935E-02, -6.862475078407195E-03,  5.747758741032288E-03,  9.951935759161897E-01,  2.769840186585738E-04,
2461118.500000000, A.D. 2026-Mar-19 00:00:00.0000, -9.948825555854295E-01,  3.138480104997163E-02,  1.360979054667377E-02, -8.707030918846183E-04, -1.584147362138821E-02, -6.867674450496507E-03,  5.749358165171874E-03,  9.954705076213287E-01,  2.768522084187120E-04,
2461119.500000000, A.D. 2026-Mar-20 00:00:00.0000, -9.956031624961277E-01,  1.553942865196031E-02,  6.740460269203992E-03, -5.705166505235729E-04, -1.584841426760945E-02, -6.870607882341619E-03,  5.750956434768902E-03,  9.957472394236205E-01,  2.765981249046318E-04,
2461120.500000000, A.D. 2026-Mar-21 00:00:00.0000, -9.960236356767576E-01, -3.103140231802608E-04, -1.306696244779775E-04, -2.704706901592937E-04, -1.585021570852451E-02, -6.871275169571265E-03,  5.752553095085981E-03,  9.960236925877267E-01,  2.763103060252773E-04,
2461121.500000000, A.D. 2026-Mar-22 00:00:00.0000, -9.961442205552161E-01, -1.615929833881857E-02, -7.001340634820692E-03,  2.922564329977241E-05, -1.584690504591969E-02, -6.869694764317996E-03,  5.754148217508063E-03,  9.962998794735685E-01,  2.760805150016090E-04,
2461122.500000000, A.D. 2026-Mar-23 00:00:00.0000, -9.959653669285605E-01, -3.200244029088165E-02, -1.386932190707441E-02,  3.283752166282473E-04, -1.583854386721327E-02, -6.865903098556305E-03,  5.755742384725524E-03,  9.965759009708571E-01,  2.759921560157259E-04,
2461123.500000000, A.D. 2026-Mar-24 00:00:00.0000, -9.954877101298926E-01, -4.783473229877573E-02, -2.073242649498024E-02,  6.268058840531574E-04, -1.582522196903071E-02, -6.859950699448010E-03,  5.757336612237706E-03,  9.968519329078528E-01,  2.761103397551467E-04,
2461124.500000000, A.D. 2026-Mar-25 00:00:00.0000, -9.947120416373004E-01, -6.365126652461386E-02, -2.758852264996836E-02,  9.243782972429948E-04, -1.580704718581822E-02, -6.851896404938380E-03,  5.758932223538111E-03,  9.971282044403527E-01,  2.764760318995097E-04,
2461125.500000000, A.D. 2026-Mar-26 00:00:00.0000, -9.936392748508985E-01, -7.944724736764930E-02, -3.443553908895160E-02,  1.220987844750630E-03, -1.578413440408620E-02, -6.841801367527087E-03,  5.760530704929158E-03,  9.974049729136419E-01,  2.771047666313710E-04,
2461126.500000000, A.D. 2026-Mar-27 00:00:00.0000, -9.922704113626806E-01, -9.521799360582220E-02, -4.127146470130421E-02,  1.516562051689711E-03, -1.575659612043983E-02, -6.829724066271138E-03,  5.762133563548947E-03,  9.976824992805940E-01,  2.779887726597651E-04,
2461127.500000000, A.D. 2026-Mar-28 00:00:00.0000, -9.906065112428589E-01, -1.109589323149469E-01, -4.809434398050316E-02,  1.811055472915522E-03, -1.572453548284465E-02, -6.815716755319719E-03,  5.763742203441497E-03,  9.979610266438945E-01,  2.791008298926526E-04,
2461128.500000000, A.D. 2026-Mar-29 00:00:00.0000, -9.886486689915369E-01, -1.266655870287573E-01, -5.490226957323689E-02,  2.104443663366512E-03, -1.568804164977662E-02, -6.799823199027530E-03,  5.765357825678772E-03,  9.982407629627080E-01,  2.803985920572844E-04,
2461129.500000000, A.D. 2026-Mar-30 00:00:00.0000, -9.863979956364709E-01, -1.423335621887190E-01, -6.169337307055258E-02,  2.396716979926076E-03, -1.564718692340578E-02, -6.782077371405006E-03,  5.766981353343706E-03,  9.985218680638895E-01,  2.818288376069358E-04,
2461130.500000000, A.D. 2026-Mar-31 00:00:00.0000, -9.838556070244938E-01, -1.579585254448670E-01, -6.846581488587872E-02,  2.687874401603417E-03, -1.560202528445816E-02, -6.762502911637771E-03,  5.768613380723368E-03,  9.988044448450553E-01,  2.833316179812588E-04,
2461131.500000000, A.D. 2026-Apr-01 00:00:00.0000, -9.810226182523754E-01, -1.735361891588016E-01, -7.521777394704431E-02,  2.977917458883548E-03, -1.555259227215876E-02, -6.741113300986636E-03,  5.770254146365389E-03,  9.990885346094477E-01,  2.848443742114743E-04,
2461132.500000000, A.D. 2026-Apr-02 00:00:00.0000, -9.779001439950117E-01, -1.890622924942058E-01, -8.194743793985637E-02,  3.266844586057288E-03, -1.549890628834297E-02, -6.717912790787215E-03,  5.771903529588003E-03,  9.993741164616661E-01,  2.863058985694841E-04,
2461133.500000000, A.D. 2026-Apr-03 00:00:00.0000, -9.744893040449073E-01, -2.045325855079567E-01, -8.865299483785839E-02,  3.554646448237596E-03, -1.544097125942388E-02, -6.692898023874067E-03,  5.773561068571127E-03,  9.996611104400424E-01,  2.876597698288974E-04,
2461134.500000000, A.D. 2026-Apr-04 00:00:00.0000, -9.707912327956268E-01, -2.199428164376364E-01, -9.533262631289183E-02,  3.841302805079984E-03, -1.537878027710199E-02, -6.666060123150453E-03,  5.775225995644174E-03,  9.999493836265345E-01,  2.888568014198010E-04,
2461135.500000000, A.D. 2026-Apr-05 00:00:00.0000, -9.668070909542699E-01, -2.352887228554868E-01, -1.019845033204136E-01,  4.126781204773566E-03, -1.531231956941985E-02, -6.637386886707924E-03,  5.776897283031236E-03,  1.000238758067260E+00,  2.898561833362034E-04,
2461136.500000000, A.D. 2026-Apr-06 00:00:00.0000, -9.625380776780751E-01, -2.505660266565505E-01, -1.086067837719224E-01,  4.411037386811049E-03, -1.524157208555084E-02, -6.606864708509697E-03,  5.778573691277858E-03,  1.000529019157334E+00,  2.906252910695175E-04,
2461137.500000000, A.D. 2026-Apr-07 00:00:00.0000, -9.579854416465503E-01, -2.657704321924944E-01, -1.151976118660079E-01,  4.694016904186336E-03, -1.516652012944658E-02, -6.574479939775187E-03,  5.780253813313206E-03,  1.000819923269992E+00,  2.911384297555940E-04,
2461138.500000000, A.D. 2026-Apr-08 00:00:00.0000, -9.531504901843777E-01, -2.808976264310786E-01, -1.217551184409446E-01,  4.975657279184822E-03, -1.508714675443872E-02, -6.540219563016920E-03,  5.781936109255830E-03,  1.001111203783027E+00,  2.913749688519495E-04,
2461139.500000000, A.D. 2026-Apr-09 00:00:00.0000, -9.480345962582576E-01, -2.959432798787220E-01, -1.282774216628410E-01,  5.255889987353792E-03, -1.500343591515688E-02, -6.504071204454286E-03,  5.783618929925158E-03,  1.001402575149674E+00,  2.913173819413168E-04,
2461140.500000000, A.D. 2026-Apr-10 00:00:00.0000, -9.426392038387187E-01, -3.109030471186570E-01, -1.347626274514547E-01,  5.534641649862847E-03, -1.491537159944241E-02, -6.466022628941500E-03,  5.785300529960370E-03,  1.001693735170076E+00,  2.909496877322789E-04,
